area_code,area_name,area_unit,dimension,dimension_value,population_base,population
E06000001,Hartlepool,Local Authority,age_group,18 to 24,published,7572
E06000001,Hartlepool,Local Authority,age_group,18 to 64,asc_eligible,11893
E06000001,Hartlepool,Local Authority,age_group,18 to 64,published,57442
E06000001,Hartlepool,Local Authority,age_group,25 to 44,published,24658
E06000001,Hartlepool,Local Authority,age_group,45 to 64,published,25212
E06000001,Hartlepool,Local Authority,age_group,65 and above,asc_eligible,18233
E06000001,Hartlepool,Local Authority,age_group,65 and above,published,19648
E06000001,Hartlepool,Local Authority,age_group,65 to 74,published,10622
E06000001,Hartlepool,Local Authority,age_group,75 to 84,published,6567
E06000001,Hartlepool,Local Authority,age_group,85 and above,published,2459
E06000001,Hartlepool,Local Authority,age_group,All,asc_eligible,30126
E06000001,Hartlepool,Local Authority,age_group,All,published,77090
E06000001,Hartlepool,Local Authority,ethnicity,All,asc_eligible,30126
E06000001,Hartlepool,Local Authority,ethnicity,All,published,72514
E06000001,Hartlepool,Local Authority,ethnicity,Asian or Asian British,asc_eligible,193
E06000001,Hartlepool,Local Authority,ethnicity,Asian or Asian British,published,1128
E06000001,Hartlepool,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,40
E06000001,Hartlepool,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,262
E06000001,Hartlepool,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,102
E06000001,Hartlepool,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,343
E06000001,Hartlepool,Local Authority,ethnicity,Other ethnic group,asc_eligible,78
E06000001,Hartlepool,Local Authority,ethnicity,Other ethnic group,published,367
E06000001,Hartlepool,Local Authority,ethnicity,White,asc_eligible,29713
E06000001,Hartlepool,Local Authority,ethnicity,White,published,70414
E06000001,Hartlepool,Local Authority,gender,All,published,77090
E06000001,Hartlepool,Local Authority,gender,Female,published,40040
E06000001,Hartlepool,Local Authority,gender,Male,published,37050
E06000002,Middlesbrough,Local Authority,age_group,18 to 24,published,14142
E06000002,Middlesbrough,Local Authority,age_group,18 to 64,asc_eligible,17541
E06000002,Middlesbrough,Local Authority,age_group,18 to 64,published,94563
E06000002,Middlesbrough,Local Authority,age_group,25 to 44,published,46796
E06000002,Middlesbrough,Local Authority,age_group,45 to 64,published,33625
E06000002,Middlesbrough,Local Authority,age_group,65 and above,asc_eligible,24178
E06000002,Middlesbrough,Local Authority,age_group,65 and above,published,25981
E06000002,Middlesbrough,Local Authority,age_group,65 to 74,published,14248
E06000002,Middlesbrough,Local Authority,age_group,75 to 84,published,8472
E06000002,Middlesbrough,Local Authority,age_group,85 and above,published,3261
E06000002,Middlesbrough,Local Authority,age_group,All,asc_eligible,41719
E06000002,Middlesbrough,Local Authority,age_group,All,published,120544
E06000002,Middlesbrough,Local Authority,ethnicity,All,asc_eligible,41719
E06000002,Middlesbrough,Local Authority,ethnicity,All,published,110458
E06000002,Middlesbrough,Local Authority,ethnicity,Asian or Asian British,asc_eligible,1878
